UF;NACIONALIDADE;CLASSIFICACAO;QTD
PR;COLÔMBIA;Temporário;884
PR;URUGUAI;Residente;931
PR;HAITI;Residente;16194
PR;ESPANHA;Residente;1409
PR;CONGO;Residente;70
PR;POLÔNIA;Residente;828
PR;ARGENTINA;Residente;4877
PR;VENEZUELA;Residente;6632
PR;VENEZUELA;Temporário;11430
PR;ALEMANHA;Residente;1717
PR;COLÔMBIA;Residente;1775
PR;CHINA;Residente;3272
PR;HAITI;Temporário;6355
PR;BOLÍVIA;Residente;821
PR;FRANÇA;Residente;750
PR;SUÉCIA;Residente;125
PR;LÍBANO;Temporário;8
PR;INDIA;Residente;281
PR;PERU;Residente;1265
PR;RÚSSIA;Residente;189
PR;JAPÃO;Residente;3405
PR;PARAGUAI;Residente;8643
PR;CUBA;Residente;690
PR;ESTADOS UNIDOS;Residente;1338
PR;PORTUGAL;Residente;4078
PR;AUSTRIA;Residente;156
PR;PAÍSES BAIXOS;Residente;575
PR;CHILE;Residente;1485
PR;ITÁLIA;Residente;1806
PR;AUSTRÁLIA;Residente;73
PR;REINO UNIDO;Residente;453
PR;BULGÁRIA;Residente;18
PR;AFRICA DO SUL;Residente;33
PR;SUÍCA;Residente;298
PR;MÉXICO;Residente;302
PR;CINGAPURA;Residente;9
PR;UNIÃO SOVIÉTICA;Residente;9
PR;CORÉIA DO SUL;Residente;479
PR;SENEGAL;Residente;492
PR;REP. DOMINICANA;Residente;81
PR;ALEMANHA;Temporário;45
PR;ANGOLA;Residente;338
PR;LÍBANO;Residente;3301
PR;SÍRIA;Residente;611
PR;BÉLGICA;Residente;157
PR;INDONÉSIA;Residente;43
PR;UCRÂNIA;Residente;160
PR;MARROCOS;Residente;110
PR;NORUEGA;Residente;37
PR;NIGÉRIA;Residente;116
PR;GUINÉ EQUATORIAL;Residente;3
PR;APÁTRIDA;Residente;150
PR;DINAMARCA;Residente;74
PR;GUINÉ BISSAU;Temporário;33
PR;MOÇAMBIQUE;Residente;42
PR;EQUADOR;Residente;190
PR;SERRA LEOA;Residente;65
PR;GUINÉ BISSAU;Residente;104
PR;ARGÉLIA;Residente;19
PR;LÍBIA;Residente;81
PR;FILIPINAS;Residente;111
PR;MOÇAMBIQUE;Temporário;51
PR;REPÚBLICA TCHECA;Residente;22
PR;PAQUISTÃO;Residente;127
PR;FINLÂNDIA;Residente;40
PR;CANADÁ;Residente;226
PR;SERVIA E MONTENEGRO;Residente;57
PR;ISRAEL;Residente;49
PR;GRÉCIA;Residente;62
PR;ROMÊNIA;Residente;106
PR;PANAMÁ;Residente;36
PR;EL SALVADOR;Residente;52
PR;ANGOLA;Temporário;89
PR;EGITO;Residente;122
PR;BOLÍVIA;Temporário;103
PR;TURQUIA;Residente;33
PR;CUBA;Provisório;500
PR;CHINA;Temporário;66
PR;PARAGUAI;Temporário;2333
PR;LITUÂNIA;Residente;37
PR;GUINÉ EQUATORIAL;Temporário;7
PR;PARAGUAI;Fronteiriço;1099
PR;COSTA RICA;Residente;30
PR;TOGO;Temporário;5
PR;PERU;Temporário;221
PR;CROÁCIA;Residente;6
PR;HUNGRIA;Residente;42
PR;ESTADOS UNIDOS;Temporário;107
PR;ANGOLA;Provisório;36
PR;TUNÍSIA;Residente;32
PR;MALÁSIA;Residente;14
PR;JORDÂNIA;Residente;118
PR;LETÔNIA;Residente;18
PR;SUDÃO;Residente;12
PR;CABO VERDE;Residente;27
PR;CUBA;Temporário;48
PR;EMIRADOS ÁRABES;Residente;1
PR;SURINAME;Residente;2
PR;PALESTINA;Residente;74
PR;QUÊNIA;Residente;6
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;5
PR;EQUADOR;Temporário;57
PR;MONGÓLIA;Residente;1
PR;TOGO;Residente;11
PR;IRLANDA;Residente;30
PR;BELARUS;Residente;15
PR;BENIN;Temporário;15
PR;GANA;Residente;65
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;12
PR;UGANDA;Residente;2
PR;MÉXICO;Temporário;19
PR;GEÓRGIA;Residente;4
PR;TAILÂNDIA;Residente;7
PR;GUATEMALA;Residente;21
PR;CHILE;Temporário;138
PR;ARGENTINA;Temporário;70
PR;BANGLADESH;Residente;863
PR;BÓSNIA-HERZEGOVINA;Residente;2
PR;HONDURAS;Residente;22
PR;IRÃ;Residente;79
PR;PAQUISTÃO;Temporário;7
PR;IÊMEN;Residente;12
PR;GUIANA FRANCESA;Residente;5
PR;MAURITÂNIA;Residente;6
PR;VENEZUELA;Provisório;959
PR;MALTA;Residente;24
PR;PORTO RICO;Residente;2
PR;NICARÁGUA;Residente;17
PR;NOVA ZELÂNDIA;Residente;30
PR;COSTA RICA;Temporário;6
PR;CHINA;Provisório;16
PR;GUINÉ BISSAU;Provisório;27
PR;IRLANDA;Temporário;2
PR;JAPÃO;Temporário;21
PR;MARROCOS;Provisório;26
PR;BENIN;Residente;24
PR;FRANÇA;Temporário;19
PR;ESTÔNIA;Residente;8
PR;REP. MONTENEGRO;Residente;1
PR;CAMARÕES;Residente;8
PR;SÉRVIA;Residente;12
PR;INDIA;Temporário;53
PR;COSTA DO MARFIM;Provisório;2
PR;PORTUGAL;Temporário;19
