UF;NACIONALIDADE;CLASSIFICACAO;QTD
PR;VENEZUELA;Temporário;10653
PR;VENEZUELA;Provisório;866
PR;JAPÃO;Residente;3409
PR;CHINA;Residente;3273
PR;SÍRIA;Residente;600
PR;ESPANHA;Residente;1414
PR;COLÔMBIA;Temporário;950
PR;VENEZUELA;Residente;6077
PR;HAITI;Residente;16010
PR;POLÔNIA;Residente;829
PR;PORTUGAL;Residente;4074
PR;ANGOLA;Provisório;34
PR;ARGENTINA;Residente;4832
PR;CHILE;Residente;1482
PR;RÚSSIA;Residente;186
PR;CHILE;Temporário;139
PR;IRÃ;Residente;79
PR;ITÁLIA;Residente;1806
PR;SÍRIA;Provisório;37
PR;ESTADOS UNIDOS;Residente;1336
PR;FRANÇA;Residente;748
PR;REINO UNIDO;Residente;454
PR;GRÉCIA;Residente;64
PR;HAITI;Temporário;6712
PR;COLÔMBIA;Residente;1739
PR;ANGOLA;Residente;332
PR;PERU;Residente;1256
PR;ALEMANHA;Residente;1718
PR;IRLANDA;Residente;30
PR;CUBA;Residente;660
PR;BÉLGICA;Residente;156
PR;REPÚBLICA TCHECA;Residente;22
PR;PARAGUAI;Residente;8587
PR;ISRAEL;Residente;50
PR;PAÍSES BAIXOS;Residente;576
PR;NIGÉRIA;Provisório;8
PR;MARROCOS;Residente;108
PR;SUÍCA;Residente;296
PR;ESTADOS UNIDOS;Temporário;96
PR;FINLÂNDIA;Residente;40
PR;QUÊNIA;Residente;6
PR;MARROCOS;Temporário;5
PR;URUGUAI;Residente;931
PR;GUINÉ BISSAU;Residente;103
PR;AUSTRÁLIA;Residente;73
PR;EL SALVADOR;Residente;52
PR;CORÉIA DO SUL;Residente;479
PR;EGITO;Residente;118
PR;AUSTRIA;Residente;156
PR;INDONÉSIA;Residente;43
PR;LÍBIA;Residente;73
PR;MÉXICO;Residente;300
PR;CONGO;Residente;70
PR;BOLÍVIA;Residente;819
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;12
PR;APÁTRIDA;Residente;150
PR;SUÉCIA;Residente;125
PR;MÉXICO;Temporário;20
PR;GUIANA;Temporário;5
PR;PERU;Temporário;214
PR;TAILÂNDIA;Residente;7
PR;MARROCOS;Provisório;21
PR;LÍBANO;Residente;3292
PR;GUATEMALA;Residente;21
PR;CANADÁ;Residente;226
PR;INDIA;Residente;277
PR;GUINÉ BISSAU;Temporário;34
PR;BENIN;Temporário;21
PR;NOVA ZELÂNDIA;Residente;30
PR;BULGÁRIA;Residente;18
PR;CUBA;Provisório;465
PR;REP. DOMINICANA;Residente;81
PR;PARAGUAI;Temporário;2285
PR;FILIPINAS;Residente;107
PR;COSTA RICA;Residente;30
PR;DINAMARCA;Residente;74
PR;HUNGRIA;Residente;42
PR;NIGÉRIA;Residente;116
PR;NICARÁGUA;Residente;17
PR;RÚSSIA;Temporário;3
PR;TUNÍSIA;Residente;32
PR;ARGENTINA;Temporário;73
PR;POLÔNIA;Temporário;4
PR;JORDÂNIA;Residente;118
PR;MOÇAMBIQUE;Residente;42
PR;UCRÂNIA;Residente;160
PR;PAQUISTÃO;Residente;128
PR;EQUADOR;Residente;188
PR;TURQUIA;Residente;29
PR;SERVIA E MONTENEGRO;Residente;57
PR;MOÇAMBIQUE;Temporário;55
PR;TAIWAN, PROVINCIA DA CHINA;Residente;32
PR;JAPÃO;Temporário;20
PR;NIGÉRIA;Temporário;3
PR;CHINA;Temporário;68
PR;TCHECOSLOVAQUIA;Residente;11
PR;GANA;Temporário;15
PR;FRANÇA;Temporário;20
PR;PORTUGAL;Temporário;18
PR;PALESTINA;Residente;74
PR;BOLÍVIA;Temporário;102
PR;UNIÃO SOVIÉTICA;Residente;9
PR;SUDÃO;Residente;12
PR;GANA;Residente;64
PR;HONDURAS;Residente;22
PR;PARAGUAI;Fronteiriço;1076
PR;GUINÉ EQUATORIAL;Temporário;7
PR;INDIA;Temporário;46
PR;AFRICA DO SUL;Residente;33
PR;ESLOVÁQUIA;Residente;12
PR;CUBA;Temporário;50
PR;QUÊNIA;Temporário;3
PR;LÍBANO;Provisório;108
PR;ISLÂNDIA;Residente;6
PR;AFEGANISTÃO;Temporário;21
PR;NORUEGA;Residente;37
PR;MÉXICO;Provisório;3
PR;ROMÊNIA;Residente;106
PR;PERU;Provisório;3
PR;PANAMÁ;Residente;36
PR;BHUTAN;Residente;2
