UF;NACIONALIDADE;CLASSIFICACAO;QTD
PR;BOLÍVIA;Residente;833
PR;PORTUGAL;Residente;4081
PR;HAITI;Residente;16416
PR;ITÁLIA;Residente;1806
PR;ALEMANHA;Residente;1711
PR;CHILE;Residente;1491
PR;SUÉCIA;Residente;126
PR;CONGO;Residente;65
PR;ANGOLA;Residente;342
PR;COLÔMBIA;Residente;1841
PR;PARAGUAI;Residente;8765
PR;LÍBANO;Residente;3317
PR;ARGENTINA;Residente;4963
PR;PERU;Residente;1293
PR;ESPANHA;Residente;1411
PR;ESTADOS UNIDOS;Residente;1344
PR;FRANÇA;Residente;755
PR;MARROCOS;Residente;111
PR;BULGÁRIA;Residente;17
PR;POLÔNIA;Residente;827
PR;SÍRIA;Residente;629
PR;CHINA;Residente;3274
PR;PAÍSES BAIXOS;Residente;578
PR;SERVIA E MONTENEGRO;Residente;57
PR;PANAMÁ;Residente;37
PR;MOÇAMBIQUE;Residente;39
PR;NIGÉRIA;Residente;117
PR;JAPÃO;Residente;3388
PR;PERU;Temporário;237
PR;BÉLGICA;Residente;157
PR;ISRAEL;Residente;49
PR;VENEZUELA;Residente;7733
PR;MÉXICO;Residente;307
PR;REINO UNIDO;Residente;454
PR;BOLÍVIA;Temporário;115
PR;INDIA;Residente;283
PR;URUGUAI;Residente;938
PR;CUBA;Residente;736
PR;TOGO;Temporário;7
PR;EQUADOR;Residente;192
PR;REP. DOMINICANA;Residente;82
PR;AUSTRÁLIA;Residente;73
PR;CUBA;Temporário;61
PR;GANA;Residente;73
PR;UGANDA;Residente;1
PR;SUÍCA;Residente;298
PR;IRÃ;Residente;79
PR;FILIPINAS;Residente;112
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;5
PR;AUSTRIA;Residente;156
PR;EQUADOR;Temporário;74
PR;CABO VERDE;Residente;27
PR;CANADÁ;Residente;233
PR;PAQUISTÃO;Residente;131
PR;VENEZUELA;Temporário;13485
PR;SAO TOMÉ E PRÍNCIPE;Residente;10
PR;HUNGRIA;Residente;43
PR;GUINÉ BISSAU;Residente;107
PR;PALESTINA;Residente;72
PR;MONGÓLIA;Residente;1
PR;CORÉIA DO SUL;Residente;482
PR;COLÔMBIA;Temporário;955
PR;GEÓRGIA;Residente;4
PR;PARAGUAI;Temporário;2690
PR;RÚSSIA;Residente;189
PR;ROMÊNIA;Residente;106
PR;UCRÂNIA;Residente;160
PR;FINLÂNDIA;Residente;40
PR;DINAMARCA;Residente;74
PR;BANGLADESH;Residente;875
PR;JORDÂNIA;Residente;121
PR;JAPÃO;Temporário;26
PR;GRÉCIA;Residente;61
PR;INDONÉSIA;Residente;43
PR;ESLOVÁQUIA;Residente;12
PR;TUNÍSIA;Residente;33
PR;IRAQUE;Residente;26
PR;APÁTRIDA;Residente;150
PR;GUINÉ BISSAU;Temporário;36
PR;EGITO;Residente;130
PR;BELARUS;Residente;15
PR;SENEGAL;Residente;559
PR;EL SALVADOR;Residente;50
PR;CHILE;Temporário;143
PR;LETÔNIA;Residente;18
PR;TOGO;Residente;11
PR;IRLANDA;Residente;31
PR;NORUEGA;Residente;37
PR;HAITI;Temporário;6179
PR;NOVA ZELÂNDIA;Residente;31
PR;MÉXICO;Temporário;20
PR;ALEMANHA;Temporário;40
PR;COSTA RICA;Residente;29
PR;CHINA;Temporário;69
PR;TAILÂNDIA;Residente;7
PR;ANGOLA;Temporário;93
PR;LÍBIA;Residente;82
PR;GABÃO;Residente;2
PR;EMIRADOS ÁRABES;Residente;1
PR;TURQUIA;Residente;35
PR;PAQUISTÃO;Temporário;7
PR;HONDURAS;Residente;22
PR;FILIPINAS;Temporário;4
PR;NICARÁGUA;Residente;18
PR;NEPAL;Residente;7
PR;CROÁCIA;Residente;6
PR;HONDURAS;Temporário;15
PR;INDIA;Temporário;64
PR;QUÊNIA;Temporário;2
PR;URUGUAI;Temporário;4
PR;SAMOA OCIDENTAL;Residente;2
PR;GUIANA FRANCESA;Residente;5
PR;MALTA;Residente;24
PR;VIETNAM DO NORTE;Residente;2
PR;AFRICA DO SUL;Residente;33
PR;BENIN;Residente;25
PR;ESPANHA;Temporário;6
PR;ESTADOS UNIDOS;Temporário;110
PR;RUANDA;Residente;1
PR;CAZAQUISTÃO;Residente;1
PR;GUINÉ;Residente;45
PR;TAIWAN, PROVINCIA DA CHINA;Residente;33
